Sno,Date,Time,State/UnionTerritory,Confirmed,Cured,Deaths
115,1/7/2020,8:00 AM,Karnataka,15242,7918,246
116,2/7/2020,8:00 AM,Karnataka,16514,8063,253
117,3/7/2020,8:00 AM,Karnataka,18016,8334,272
118,4/7/2020,8:00 AM,Karnataka,19710,8805,293
119,5/7/2020,8:00 AM,Karnataka,21549,9244,335
120,6/7/2020,8:00 AM,Karnataka,23474,9847,372
121,7/7/2020,8:00 AM,Karnataka,25317,10527,401
122,8/7/2020,8:00 AM,Karnataka,26815,11098,416
123,9/7/2020,8:00 AM,Karnataka,28877,11876,470
124,10/7/2020,8:00 AM,Karnataka,31105,12833,486
125,11/7/2020,8:00 AM,Karnataka,33418,13836,543
126,12/7/2020,8:00 AM,Karnataka,36216,14716,613
127,13/07/20,8:00 AM,Karnataka,38843,15409,684
128,14/07/20,8:00 AM,Karnataka,41581,16248,757
129,15/07/20,8:00 AM,Karnataka,44077,17390,842
130,16/07/20,8:00 AM,Karnataka,47253,18466,928
131,17/07/20,8:00 AM,Karnataka,51422,19729,1032
132,18/07/20,8:00 AM,Karnataka,55115,20757,1147
133,19/07/20,8:00 AM,Karnataka,59652,21775,1240
134,20/07/20,8:00 AM,Karnataka,63772,23065,1331
135,21/07/20,8:00 AM,Karnataka,67420,23795,1403
136,22/07/20,8:00 AM,Karnataka,71069,25459,1464
137,23/07/20,8:00 AM,Karnataka,75833,27239,1519
138,24/07/20,8:00 AM,Karnataka,80863,29310,1616
139,25/07/20,8:00 AM,Karnataka,85870,31347,1724
140,26/07/20,8:00 AM,Karnataka,90942,33750,1796
141,27/07/20,8:00 AM,Karnataka,96141,35838,1878
142,28/07/20,8:00 AM,Karnataka,101465,37685,1953
143,29/07/20,8:00 AM,Karnataka,107001,40504,2055
144,30/07/20,8:00 AM,Karnataka,112504,42901,2147
145,31/07/20,8:00 AM,Karnataka,118632,46694,2230
146,1/8/2020,8:00 AM,Karnataka,124115,49788,2314
147,2/8/2020,8:00 AM,Karnataka,129287,53648,2412
148,3/8/2020,8:00 AM,Karnataka,134819,57725,2496
149,4/8/2020,8:00 AM,Karnataka,139571,62500,2594
150,5/8/2020,8:00 AM,Karnataka,145830,69272,2704
151,6/8/2020,8:00 AM,Karnataka,151449,74679,2804
152,7/8/2020,8:00 AM,Karnataka,158254,80281,2897
153,8/8/2020,8:00 AM,Karnataka,164924,84232,2998
154,9/8/2020,8:00 AM,Karnataka,172102,89238,3091
155,10/8/2020,8:00 AM,Karnataka,178087,93908,3198
156,11/8/2020,8:00 AM,Karnataka,182354,99126,3312
157,12/8/2020,8:00 AM,Karnataka,188611,105599,3398
158,13/08/20,8:00 AM,Karnataka,196494,112633,3510
159,14/08/20,8:00 AM,Karnataka,203200,121242,3613
160,15/08/20,8:00 AM,Karnataka,211108,128182,3717
161,16/08/20,8:00 AM,Karnataka,219926,134811,3831
162,17/08/20,8:00 AM,Karnataka,226966,141491,3947
163,18/08/20,8:00 AM,Karnataka,233283,148562,4062
164,19/08/20,8:00 AM,Karnataka,240948,156949,4201
165,20/08/20,8:00 AM,Karnataka,249590,164150,4327
166,21/08/20,8:00 AM,Karnataka,256975,170381,4429
167,22/08/20,8:00 AM,Karnataka,264546,176942,4522
168,23/08/20,8:00 AM,Karnataka,271876,184568,4615
169,24/08/20,8:00 AM,Karnataka,277814,189564,4683
170,25/08/20,8:00 AM,Karnataka,283665,197625,4810
171,26/08/20,8:00 AM,Karnataka,291826,204439,4958
172,27/08/20,8:00 AM,Karnataka,300406,211688,5091
173,28/08/20,8:00 AM,Karnataka,309792,219554,5232
174,29/08/20,8:00 AM,Karnataka,318752,227018,5368
175,30/08/20,8:00 AM,Karnataka,327076,235128,5483
176,31/08/20,8:00 AM,Karnataka,335928,242229,5589
177,1/9/2020,8:00 AM,Karnataka,342423,249467,5702
178,2/9/2020,8:00 AM,Karnataka,351481,254626,5837
179,3/9/2020,8:00 AM,Karnataka,361341,260913,5950
180,4/9/2020,8:00 AM,Karnataka,370206,268035,6054
181,5/9/2020,8:00 AM,Karnataka,379486,274196,6170
182,6/9/2020,8:00 AM,Karnataka,389232,283298,6298
183,7/9/2020,8:00 AM,Karnataka,398551,292873,6393
184,8/9/2020,8:00 AM,Karnataka,404324,300770,6534
185,9/9/2020,8:00 AM,Karnataka,412190,308573,6680
186,10/9/2020,8:00 AM,Karnataka,421730,315433,6808
187,11/9/2020,8:00 AM,Karnataka,430947,322454,6937
188,12/9/2020,8:00 AM,Karnataka,440411,334999,7067
189,13/09/20,8:00 AM,Karnataka,449551,344556,7161
190,14/09/20,8:00 AM,Karnataka,459445,352958,7265
191,15/09/20,8:00 AM,Karnataka,467689,361823,7384
192,16/09/20,8:00 AM,Karnataka,475265,369229,7481
193,17/09/20,8:00 AM,Karnataka,484990,375809,7536
194,18/09/20,8:00 AM,Karnataka,494356,383077,7629
195,19/09/20,8:00 AM,Karnataka,502982,394026,7808
196,20/09/20,8:00 AM,Karnataka,511346,404841,7922
197,21/09/20,8:00 AM,Karnataka,519537,413452,8023
198,22/09/20,8:00 AM,Karnataka,526876,423377,8145
199,23/09/20,8:00 AM,Karnataka,533850,432450,8228
200,24/09/20,8:00 AM,Karnataka,540847,437910,8266
201,25/09/20,8:00 AM,Karnataka,548557,444658,8331
202,26/09/20,8:00 AM,Karnataka,557212,450302,8417
203,27/09/20,8:00 AM,Karnataka,566023,455719,8503
204,28/09/20,8:00 AM,Karnataka,575566,462241,8582
205,29/09/20,8:00 AM,Karnataka,582458,469750,8641
206,30/09/20,8:00 AM,Karnataka,592911,476378,8777
207,1/10/2020,8:00 AM,Karnataka,601767,485268,8864
208,2/10/2020,8:00 AM,Karnataka,611837,492412,8994
209,3/10/2020,8:00 AM,Karnataka,620630,499506,9119
210,4/10/2020,8:00 AM,Karnataka,630516,508495,9219
211,5/10/2020,8:00 AM,Karnataka,640661,515782,9286
212,6/10/2020,8:00 AM,Karnataka,647712,522846,9370
213,7/10/2020,8:00 AM,Karnataka,657705,533074,9461
214,8/10/2020,8:00 AM,Karnataka,668652,542906,9574
215,9/10/2020,8:00 AM,Karnataka,679356,552519,9675
216,10/10/2020,8:00 AM,Karnataka,690269,561610,9789
217,11/10/2020,8:00 AM,Karnataka,700786,569947,9891
218,12/10/2020,8:00 AM,Karnataka,710309,580054,9966
219,13/10/20,8:00 AM,Karnataka,717915,592084,10036
220,14/10/20,8:00 AM,Karnataka,726106,602505,10123
221,15/10/20,8:00 AM,Karnataka,735371,611167,10198
222,16/10/20,8:00 AM,Karnataka,743848,620008,10283
223,17/10/20,8:00 AM,Karnataka,751390,628588,10356
224,18/10/20,8:00 AM,Karnataka,758574,637481,10427
225,19/10/20,8:00 AM,Karnataka,765586,645825,10478
226,20/10/20,8:00 AM,Karnataka,770604,653829,10542
227,21/10/20,8:00 AM,Karnataka,776901,662329,10608
228,22/10/20,8:00 AM,Karnataka,782773,671618,10696
229,23/10/20,8:00 AM,Karnataka,788551,684835,10770
230,24/10/20,8:00 AM,Karnataka,793907,693584,10821
231,25/10/20,8:00 AM,Karnataka,798378,700737,10873
232,26/10/20,8:00 AM,Karnataka,802817,710843,10905
233,27/10/20,8:00 AM,Karnataka,805947,719558,10947
234,28/10/20,8:00 AM,Karnataka,809638,727298,10991
235,29/10/20,8:00 AM,Karnataka,812784,733558,11046
236,30/10/20,8:00 AM,Karnataka,816809,741219,11091
237,31/10/20,8:00 AM,Karnataka,820398,749740,11140
238,1/11/2020,8:00 AM,Karnataka,823412,757208,11168
239,2/11/2020,8:00 AM,Karnataka,827064,765261,11192
240,3/11/2020,8:00 AM,Karnataka,829640,773595,11221
241,4/11/2020,8:00 AM,Karnataka,832396,780735,11247
242,5/11/2020,8:00 AM,Karnataka,835773,788780,11281
243,6/11/2020,8:00 AM,Karnataka,838929,794503,11312
244,7/11/2020,8:00 AM,Karnataka,841889,797204,11347
245,8/11/2020,8:00 AM,Karnataka,844147,799439,11369
246,9/11/2020,8:00 AM,Karnataka,846887,801799,11391
247,10/11/2020,8:00 AM,Karnataka,848850,804485,11410
248,11/11/2020,8:00 AM,Karnataka,851212,808700,11430
249,12/11/2020,8:00 AM,Karnataka,853796,811581,11453
250,13/11/20,8:00 AM,Karnataka,855912,814949,11474
251,14/11/20,8:00 AM,Karnataka,857928,818392,11491
252,15/11/20,8:00 AM,Karnataka,860082,820590,11508
253,16/11/20,8:00 AM,Karnataka,861647,822953,11529
254,17/11/20,8:00 AM,Karnataka,862804,825141,11541
255,18/11/20,8:00 AM,Karnataka,864140,827241,11557
